STT,ID,Module,Feature/Screen,Description/Assumptions,"Fields/Components, Component Type, Required?",User Flow
21,1.4.2,,Asset Utilization Dashboard,"- Accessible by Super Admin.
- ?? PLACEHOLDER - awaiting client input on KPIs and metrics.
- Filters: Category, Building.","Screen name: Asset Utilization Dashboard

?? PLACEHOLDER - full spec pending client confirmation of KPIs.

- Building - Dropdown filter
- Category - Dropdown filter
- [Chart/KPI area - TBD]","Screen: Asset Utilization Dashboard (Super Admin)

Preconditions:
- Super Admin authenticated.

?? PLACEHOLDER - This feature cannot be fully specified until the client confirms:
1. Definition of ""asset utilization"" in this operational context.
2. List of KPIs to display (e.g., MTBF, MTTR, WO count per asset, maintenance cost per asset, planned vs unplanned ratio).
3. Preferred chart types for each KPI (bar, line, donut, number card).
4. Required filter dimensions (Building, Asset System, Asset Type, Date Range).

Current placeholder flow:

1. Super Admin navigates to Dashboard => Asset Utilization tab.
2. System renders placeholder state: ""Asset Utilization Dashboard - Coming soon. Configuration pending.""
3. No filters or charts are rendered until client provides KPI definitions.

Once client confirms KPI definitions, this flow will be replaced with the full specification.
See Open Questions file for pending client input on this feature.

Edge cases pending specification confirmation.
"
22,1.4.3,,Maintenance Trend Report,"- Accessible by Super Admin.
- 3 charts: Failure Trends, Planned vs Actual, WO Status Trend.
- Filters: Building, Date Range, Granularity.","Screen name: Maintenance Trend Report
- Building - Dropdown - All Buildings + list
- Date Range - Date range picker
- Granularity - Dropdown - Daily / Monthly / Quarterly / Yearly
- Failure Trends - Bar/Line chart
- Planned vs Actual - Bar chart
- WO Status Trend - Line chart - Lines: Todo / Completed / Closed","Screen: Maintenance Trend Report (Super Admin)

Preconditions:
- Super Admin authenticated.

1. Super Admin navigates to Dashboard => Maintenance Trend Report tab (or Reports section).

2. System loads default filter state:
   + Building: All Buildings.
   + Date Range: last 12 months.
   + Granularity: Monthly.

3. System fetches and renders 3 charts:

   Chart 1 - Failure Trends:
   + X-axis: time (by selected granularity).
   + Y-axis: count of failure events.
   + Failure definition: pending client confirmation (currently assumed = WOs reaching Completion Rejected or Verification Rejected status). Flagged for BA review.

   Chart 2 - Planned vs Actual:
   + X-axis: time.
   + Y-axis: count.
   + ""Planned"" line: number of WOs auto-generated from active Maintenance Plans in each period.
   + ""Actual"" line: number of WOs reaching Closed status in each period.
   + If Planned and Actual lines converge => maintenance is on track.

   Chart 3 - WO Status Trend:
   + Same as Performance Dashboard trend chart.
   + Proposed grouping: Todo = Pending + Pending-Unassigned + Assigned + Started; Completed = Completed + Verified; Closed = Closed only. Pending client confirmation.

4. Super Admin changes Building filter:
   4.1. Selects specific building => all 3 charts re-fetch and re-render for that building.
   4.2. ""All Buildings"" => combined data.

5. Super Admin changes Date Range:
   5.1. From Date and To Date selection via date picker.
   5.2. To Date < From Date => error: ""End date must be after start date.""
   5.3. Valid => all 3 charts re-fetch.

6. Super Admin changes Granularity:
   6.1. Selects Daily / Monthly / Quarterly / Yearly from dropdown.
   6.2. All 3 charts re-render at new granularity level.
   6.3. Daily granularity on a 12-month range => system warns: ""Daily view on large date ranges may impact performance."" => still allows.

7. Super Admin hovers over chart data points:
   + Tooltip shows exact count and date for that data point.

8. Empty state:
   + No data for selected filters => each chart shows: ""No data available for the selected period and building.""

Edge cases:
- One chart fails to load => that chart shows inline error with retry button; other charts render normally.
- Super Admin selects very narrow date range (e.g., 1 day) with Daily granularity => charts show single data point or ""Insufficient data for trend display.""
- Failure definition mismatch (pending confirmation) => chart data may differ from client expectation once definition is confirmed. Flagged for BA review.
"
23,1.4.4,,Report Builder - Maintenance Progress,"- Accessible by Super Admin.
- Tab 1 of Report Builder.
- Filters: Building + From Month + To Month.
- Output: Gantt table grouped by Asset System => Sub-system => Asset Type × months.
- Download button generates report file.","Screen name: Report Builder - Tab: Maintenance Progress
- Building - Dropdown - Required
- From Month - Month picker - Required
- To Month - Month picker - Required
- Apply - Button - Primary
- Preview section:
  + Download - Button - Secondary - Top-right of preview
  + Gantt table - grouped by System => Sub-system => Asset Type
  + Columns: month labels (APR-25, MAY-25...)
  + Cells: progress bars (R1: 50%, R2: 100%)
- Empty state: ""No maintenance data found.""","Flow: Report Builder - Maintenance Progress (Super Admin)

Preconditions:
- Super Admin authenticated.
- At least 1 active Maintenance Plan must exist for any data to appear.

1. Super Admin navigates to Report Builder => Maintenance Progress tab (Tab 1).

2. System renders filter section:
   + Building dropdown (required) - default: All Buildings.
   + From Month picker (required) - default: 6 months ago.
   + To Month picker (required) - default: current month.
   + [Apply] button.

3. Super Admin selects filters and clicks [Apply]:
   3.1. Building not selected => error: ""Please select a building."" => does NOT fetch.
   3.2. From Month not selected => error: ""Please select a start month."" => does NOT fetch.
   3.3. To Month not selected => error: ""Please select an end month."" => does NOT fetch.
   3.4. To Month is before From Month => error: ""End month must be after start month."" => does NOT fetch.
   3.5. Date range > 24 months => warning: ""Large date ranges may result in a large report. Continue?"" => Super Admin confirms => fetches.
   3.6. All valid => system fetches Gantt data and renders preview.

4. System renders Gantt preview:
   + Rows: Asset System > Sub-system > Asset Type (collapsible hierarchy).
   + Columns: each month in the selected range (e.g., Jan-25, Feb-25, Mar-25...).
   + Cells: round label + completion rate (e.g., R1: 75%, R2: 100%).
   + If a cell has no data => cell is empty (no round for that month).
   + Completion rate = WOs in Closed status / total WOs generated for that round (pending client confirmation of formula).

5. Super Admin clicks [Download]:
   5.1. System generates the report file.
   5.2. If generation takes > 3 seconds => loading indicator shown with message: ""Generating report...""
   5.3. File downloads to user's browser download folder.
   5.4. File format: pending client confirmation (PDF / Excel / both). Flagged for BA review.
   5.5. Success toast: ""Report downloaded successfully.""
   5.6. If generation fails => error: ""Failed to generate report. Please try again.""

6. Empty state (no data for filters):
   + Preview area shows: ""No maintenance plan data found for the selected building and period.""

Edge cases:
- Super Admin changes filters after generating preview => previous preview clears => must click [Apply] again.
- Report file size is very large (many buildings, long date range) => system may paginate or split the download (handling TBC).
- Super Admin navigates away during report generation => download continues in background; file downloads when ready.
"
24,1.4.5,,Report Builder - Monthly Progress,"- Tab 2 of Report Builder.
- Filters: Building + single Month.
- Output: Executive Summary (5 KPIs) + Scheduled Maintenance Overview.
- Download button.","Screen name: Report Builder - Tab: Monthly Progress
- Building - Dropdown - Required
- Month - Month picker - Required (single month)
- Apply - Button - Primary
- Preview:
  + Download - Button - Top-right
  + Report header: Building Name / Reporting Period / Generated On
  + Executive Summary section:
    * Total Assets Maintained: [XX/Total XX]
    * Assets Flagged as Faulty: [XX]
    * Ad-Hoc WOs Completed: [XX]
    * Ad-Hoc WOs Pending: [XX]
    * Overall Completion Rate: [XX%]
  + Scheduled Maintenance Overview section - content TBC (Gap Q15)","Flow: Report Builder - Monthly Progress (Super Admin)

Preconditions:
- Super Admin authenticated.

1. Super Admin navigates to Report Builder => Monthly Progress tab (Tab 2).

2. System renders filter section:
   + Building dropdown (required).
   + Month picker - single month (required) - default: current month.
   + [Apply] button.

3. Super Admin selects Building and Month => clicks [Apply]:
   3.1. Building not selected => error: ""Please select a building."" => does NOT fetch.
   3.2. Month not selected => error: ""Please select a month."" => does NOT fetch.
   3.3. Valid => system fetches data and renders preview.

4. System renders report preview with auto-generated header:
   + Building name.
   + Reporting Period (e.g., ""March 2025"").
   + Generated On (current date/time).

5. Executive Summary section (5 KPI cards):
   + Total Assets Maintained: count of assets with at least 1 Closed WO in the selected month.
   + Assets Flagged as Faulty: count - definition pending client confirmation. Flagged for BA review.
   + Ad-hoc WOs Completed: count of Ad-hoc WOs reaching Closed status in the month.
   + Ad-hoc WOs Pending: count of Ad-hoc WOs still open (not Closed/Cancelled) as of end of month.
   + Overall Completion Rate: (Closed WOs / Total WOs generated) x 100% - formula pending confirmation.

6. Scheduled Maintenance Overview section:
   + Content pending client confirmation. Flagged for BA review.
   + Placeholder shown: ""Scheduled Maintenance Overview - pending client specification.""

7. Super Admin clicks [Download]:
   7.1. Same download flow as Maintenance Progress (1.4.4 step 5).
   7.2. File includes header + Executive Summary + Scheduled Maintenance Overview.
   7.3. Success toast: ""Report downloaded successfully.""

8. Empty state:
   + ""No work order data found for [Building Name] in [Month Year].""

Edge cases:
- Super Admin selects a future month => KPIs may be 0 or partial. System renders with available data.
- Super Admin selects a month with only Ad-hoc WOs (no maintenance plans) => Scheduled Maintenance Overview section shows ""No maintenance plans active in this period.""
- KPI definition changes after confirmed with client => this flow must be updated accordingly.
"
25,1.4.6,,Report Builder - Round Completion,"- Tab 3 of Report Builder.
- Filters: Building + System + Sub System + Frequency + Type + Round (cascading).
- Output: Executive Summary (4 KPIs) + Asset Completion Overview table.","Screen name: Report Builder - Tab: Round Completion
- Building - Dropdown - Required
- System - Dropdown - Required
- Sub System - Dropdown - Required - Cascades from System
- Frequency - Dropdown - Required - Monthly / Quarterly / Yearly
- Type - Dropdown - Required - Cascades from System+Sub-system
- Round - Dropdown - Required - e.g., Round 2 (Apr–Jun)
- Apply - Button - Primary
- Preview:
  + Download - Button - Top-right
  + Header: Building / Asset Type / System / Frequency / Round / Generated On
  + Executive Summary: Total Scheduled / Completed / Faulty / Completion Rate
  + Asset Completion Overview table: Asset ID / Status (Completed / Pending / Faulty)","Flow: Report Builder - Round Completion (Super Admin)

Preconditions:
- Super Admin authenticated.
- At least 1 active Maintenance Plan with generated WOs must exist for data to appear.

1. Super Admin navigates to Report Builder => Round Completion tab (Tab 3).

2. System renders cascading filter section:
   + Building (required) - dropdown.
   + Asset System (required) - dropdown - populates after Building selected.
   + Asset Sub-system (required) - dropdown - populates after System selected.
   + Frequency (required) - dropdown - Monthly / Quarterly / Yearly.
   + Asset Type (required) - dropdown - populates after Sub-system selected.
   + Round (required) - dropdown - populates after all above selected. Shows available rounds (R1, R2, R3...).
   + [Apply] button.

3. Filter cascade behavior:
   + Super Admin selects Building => Asset System dropdown populates with systems active in that building.
   + Super Admin selects Asset System => Sub-system dropdown populates.
   + Super Admin selects Sub-system => Asset Type populates.
   + Super Admin selects Frequency => Round dropdown populates with rounds matching that frequency.
   + Super Admin selects Asset Type and Round => [Apply] becomes enabled.
   + If Super Admin changes a parent filter => all child filters reset to empty.

4. Super Admin clicks [Apply]:
   4.1. Any required filter not selected => error indicating which field: ""[Field name] is required."" => does NOT fetch.
   4.2. Valid combination => system fetches round completion data and renders preview.

5. System renders report preview header:
   + Building / Asset Type / Asset System / Frequency / Round number / Generated On.

6. Executive Summary (4 KPI cards):
   + Total Scheduled: total WOs generated for this round.
   + Completed: WOs reaching Closed status in this round.
   + Faulty: definition pending client confirmation. Flagged for BA review.
   + Completion Rate: (Closed WOs / Total Scheduled) x 100%.

7. Asset Completion Overview table:
   + Columns: Asset ID / Asset Name / Location / Status (Completed / Pending / Faulty).
   + One row per asset included in this maintenance round.
   + Sorted by: Faulty first, then Pending, then Completed.

8. Super Admin clicks [Download]:
   8.1. Same download flow as 1.4.4 step 5.
   8.2. Report includes header + Executive Summary + Asset Completion Overview table.
   8.3. Success toast: ""Report downloaded successfully.""

9. Empty state:
   + ""No data found for the selected filters."" - if no WOs were generated for this combination.

Edge cases:
- Super Admin selects a Round that is still in progress (not all WOs Closed) => report renders with current completion data; KPIs reflect partial completion.
- Cascade filter population fails (network error) => dropdown shows error: ""Failed to load options. Please try again.""
- Round dropdown is empty (no rounds generated yet for the selected combination) => shows: ""No rounds found for the selected filters."" => [Apply] remains disabled.
- Super Admin generates report for a very large round (500+ assets) => report generation may take longer; loading indicator shown.
"
,1.5,Asset Classification & Management,Asset Classification & Management,,,
26,1.5.1,Asset Classification & Management,View Asset System List,"- Accessible by Super Admin.
- 2-column panel: SYSTEM (left) + SUB-SYSTEM (right).
- Clicking a System filters Sub-systems.","Screen name: Asset Systems (Dashboard / Categories)

Layout: 2-column panel
- SYSTEM panel: Search + + button + entries (Name/Code/timestamp/Status/Edit)
- SUB-SYSTEM panel: Search + + button + entries (Name/Code/System ref/Status/Edit)
- Selected item highlighted with amber border
- Empty state SUB-SYSTEM: ""Select a system to view its sub-systems.""","Screen: Asset System & Sub-system List (Super Admin)

Preconditions:
- Super Admin authenticated.

1. Super Admin navigates to Assets => Asset Classification (or Systems).

2. System renders a 2-column panel:
   + Left panel: SYSTEM - scrollable list of all Asset Systems sorted alphabetically.
   + Right panel: SUB-SYSTEM - initially empty or showing all sub-systems.

3. System panel loads:
   + Each row: System Name / System Code / Status badge / Edit icon / Delete icon.
   + Empty state (no systems): ""No asset systems. Click + to add one.""

4. Super Admin clicks a System row in the left panel:
   4.1. System is highlighted in left panel.
   4.2. Right panel loads all Sub-systems belonging to that System.
   4.3. Each sub-system row: Sub-system Name / Code / Status badge / Edit icon / Delete icon.
   4.4. If no sub-systems for selected system: ""No sub-systems. Click + to add one.""

5. Super Admin types in the Search field in the SYSTEM panel:
   5.1. System list filters in real time (case-insensitive, partial match on name or code).
   5.2. No results: ""No systems match your search.""

6. Super Admin types in the Search field in the SUB-SYSTEM panel:
   6.1. Sub-system list filters in real time within the selected System.
   6.2. If no system selected, search filters across all sub-systems.

7. Super Admin clicks + in SYSTEM panel => Create Asset System (1.5.2).
8. Super Admin clicks Edit icon on a System => Edit Asset System (1.5.3).
9. Super Admin clicks Delete icon on a System => Delete Asset System (1.5.4).
10. Super Admin clicks + in SUB-SYSTEM panel => Create Asset Sub-system (1.5.5).
11. Super Admin clicks Edit icon on a Sub-system => Edit Asset Sub-system (1.5.6).
12. Super Admin clicks Delete icon on a Sub-system => Delete Asset Sub-system (1.5.7).

Edge cases:
- Super Admin has not selected a System and clicks + in SUB-SYSTEM panel => error: ""Please select a parent system first.""
- System list fails to load => error banner: ""Failed to load asset systems. Please refresh.""
- Very long system name => truncated with ellipsis in panel; full name shown on hover tooltip.
"
27,1.5.2,,Create Asset System,"- Accessible by Super Admin.
- Triggered by + button in the SYSTEM panel.
- Each system has: Name (required, unique), Code (required, unique), Status.","Side panel/Popup: Create System
- System Name - Text field - Required - Max 100 characters - Must be unique
- Code - Text field - Required - Max 50 characters - Must be unique
- Status - Dropdown - Required - Active / Inactive - Default: Active
- Cancel - Button - Secondary
- Add - Button - Primary","Flow: Create Asset System (Super Admin)

Preconditions:
- Super Admin authenticated, on Asset Classification screen.

1. Super Admin clicks + in the SYSTEM panel.
2. Side panel or popup opens with blank form.

3. Super Admin fills:
   - System Name (required)
   - System Code (required)
   - Status (default: Active)

4. Super Admin clicks [Add]:
   4.1. System Name empty => error: ""System name is required."" => does NOT create.
   4.2. System Name > 100 characters => error: ""System name must not exceed 100 characters."" => does NOT create.
   4.3. System Name duplicate (case-insensitive) => error: ""A system with this name already exists."" => does NOT create.
   4.4. System Code empty => error: ""Code is required."" => does NOT create.
   4.5. System Code > 50 characters => error: ""Code must not exceed 50 characters."" => does NOT create.
   4.6. System Code duplicate => error: ""A system with this code already exists."" => does NOT create.
   4.7. All valid:
    + Asset System record created.
    + New system appears in the SYSTEM panel list at correct alphabetical position.
    + System is auto-selected in left panel.
    + Right panel shows empty Sub-system state.
    + Success toast: ""Asset system created successfully.""

5. Super Admin clicks [Cancel] => panel closes, no system created.

Edge cases:
- Network error during creation => ""Failed to create asset system. Please try again."" => no partial record.
- Super Admin creates a system with Status = Inactive => system appears in the list with Inactive badge but is not available in dropdowns for asset classification.
"
28,1.5.3,,Edit Asset System,- Edit icon on a System entry opens edit side panel pre-filled.,"Side panel/Popup: Edit System
- System Name - Text field - Required - Pre-filled
- Code - Text field - Required - Pre-filled
- Status - Dropdown - Pre-filled
- Cancel / Save buttons","Flow: Edit Asset System (Super Admin)

Preconditions:
- Super Admin authenticated.

1. Super Admin clicks Edit icon on an Asset System row.
2. Side panel opens pre-filled with: System Name / System Code / Status.

3. Super Admin modifies fields => clicks [Save]:
   3.1. System Name empty => error: ""System name is required."" => does NOT save.
   3.2. System Name duplicate (excluding current system) => error: ""A system with this name already exists."" => does NOT save.
   3.3. System Code empty => error: ""Code is required."" => does NOT save.
   3.4. System Code duplicate (excluding current system) => error: ""A system with this code already exists."" => does NOT save.
   3.5. All valid => system record updated => panel refreshes => success toast: ""Asset system updated successfully.""

4. Super Admin clicks [Cancel] => panel closes, no change.

Edge cases:
- Super Admin deactivates a System (Status = Inactive) that has active Asset Types => system is still saved as Inactive. Asset Types remain linked but the system no longer appears in classification dropdowns for new assets.
- Super Admin re-activates a previously Inactive system => system returns to all classification dropdowns.
- Network error => ""Failed to update asset system. Please try again.""
"
29,1.5.4,,Delete Asset System,"- Accessible by Super Admin.
- Hard-delete only if no assets are linked.
- If assets linked => delete blocked.","Popup: Confirm Delete System
- Message: ""Are you sure you want to delete [Name]? This cannot be undone.""
- Delete - Button - Danger
- Cancel - Button - Secondary","Flow: Delete Asset System (Super Admin)

Preconditions:
- Super Admin authenticated.

1. Super Admin clicks Delete (trash) icon on an Asset System row.

2. System displays confirmation popup:
   - Message: ""Delete [System Name]? This cannot be undone.""
   - Buttons: [Delete] (Danger) / [Cancel] (Secondary).

3. Super Admin clicks [Delete]:
   3.1. System checks for linked Asset Sub-systems:
    + If sub-systems exist => does NOT delete => error: ""Cannot delete - this system has sub-systems. Delete all sub-systems first.""
   3.2. System checks for linked Asset Types:
    + If asset types exist => does NOT delete => error: ""Cannot delete - asset types are linked to this system.""
   3.3. System checks for linked Assets:
    + If assets exist => does NOT delete => error: ""Cannot delete - assets are linked to this system.""
   3.4. System checks for linked Maintenance Plans:
    + If active plans exist => does NOT delete => error: ""Cannot delete - maintenance plans are linked to this system.""
   3.5. All dependency checks pass:
    + Asset System record deleted.
    + System removed from SYSTEM panel list.
    + Right panel resets to empty state.
    + Success toast: ""Asset system deleted successfully.""

4. Super Admin clicks [Cancel] => popup closes, no change.

Edge cases:
- Super Admin deletes an Inactive system with no linked records => deletion allowed.
- Network error during deletion => ""Failed to delete asset system. Please try again."" => no partial deletion.
"
30,1.5.5,,Create Asset Sub-system,"- Accessible by Super Admin.
- Triggered by + in the SUB-SYSTEM panel.
- Each Sub-system has: Name, Code, parent Asset System, Status.","Side panel/Popup: Add Sub-system
- System - Dropdown - Required - Pre-filled with selected system
- Sub-system Name - Text field - Required - Max 100 characters
- Code - Text field - Required - Max 50 characters - Unique within System
- Status - Dropdown - Required - Default: Active
- Cancel / Add buttons","Flow: Create Asset Sub-system (Super Admin)

Preconditions:
- Super Admin authenticated.
- A parent Asset System must be selected in the SYSTEM panel.

1. Super Admin selects a System in the left panel.
2. Super Admin clicks + in the SUB-SYSTEM panel.
3. Side panel opens with blank form (parent System pre-filled as read-only).

4. Super Admin fills:
   - Sub-system Name (required)
   - Sub-system Code (required)
   - Status (default: Active)

5. Super Admin clicks [Add]:
   5.1. No parent System selected => error: ""Please select a parent system first."" => does NOT create.
   5.2. Sub-system Name empty => error: ""Sub-system name is required."" => does NOT create.
   5.3. Sub-system Name duplicate within the same parent System => error: ""A sub-system with this name already exists in this system."" => does NOT create.
   5.4. Sub-system Code empty => error: ""Code is required."" => does NOT create.
   5.5. Sub-system Code duplicate (globally, across all systems) => error: ""A sub-system with this code already exists."" => does NOT create.
   5.6. All valid:
    + Sub-system record created linked to the selected parent System.
    + New sub-system appears in the SUB-SYSTEM panel.
    + Success toast: ""Asset sub-system created successfully.""

6. Super Admin clicks [Cancel] => panel closes, no sub-system created.

Edge cases:
- Same sub-system name in different parent Systems => allowed (uniqueness is within the same system).
- Network error => ""Failed to create asset sub-system. Please try again.""
"
31,1.5.6,,Edit Asset Sub-system,- Edit icon on Sub-system entry.,"Side panel/Popup: Edit Sub-system - same fields as Create, pre-filled.","Flow: Edit Asset Sub-system (Super Admin)

Preconditions:
- Super Admin authenticated.

1. Super Admin clicks Edit icon on a Sub-system row in the SUB-SYSTEM panel.
2. Side panel opens pre-filled with: Sub-system Name / Code / Status. Parent System shown as read-only (cannot change parent).

3. Super Admin modifies fields => clicks [Save]:
   3.1. Sub-system Name empty => error: ""Sub-system name is required."" => does NOT save.
   3.2. Sub-system Name duplicate within the same parent System (excluding current) => error: ""A sub-system with this name already exists in this system."" => does NOT save.
   3.3. Sub-system Code empty => error: ""Code is required."" => does NOT save.
   3.4. Sub-system Code duplicate globally (excluding current) => error: ""A sub-system with this code already exists."" => does NOT save.
   3.5. All valid => record updated => panel refreshes => success toast: ""Asset sub-system updated successfully.""

4. Super Admin clicks [Cancel] => panel closes, no change.

Edge cases:
- Parent System cannot be changed (read-only). To move a sub-system to a different system, delete and recreate it.
- Network error => ""Failed to update asset sub-system. Please try again.""
"
32,1.5.7,,Delete Asset Sub-system,- Hard-delete if no assets linked.,"Popup: Confirm Delete Sub-system
- Message: ""Delete [Name]? This cannot be undone.""
- Delete (Danger) / Cancel","Flow: Delete Asset Sub-system (Super Admin)

Preconditions:
- Super Admin authenticated.

1. Super Admin clicks Delete (trash) icon on a Sub-system row.

2. System displays confirmation popup:
   - Message: ""Delete [Sub-system Name]? This cannot be undone.""
   - Buttons: [Delete] (Danger) / [Cancel] (Secondary).

3. Super Admin clicks [Delete]:
   3.1. System checks for linked Asset Types:
    + If asset types exist => does NOT delete => error: ""Cannot delete - asset types are linked to this sub-system.""
   3.2. System checks for linked Assets:
    + If assets exist => does NOT delete => error: ""Cannot delete - assets are linked to this sub-system.""
   3.3. All dependency checks pass:
    + Sub-system record deleted.
    + Sub-system removed from SUB-SYSTEM panel.
    + Success toast: ""Asset sub-system deleted successfully.""

4. Super Admin clicks [Cancel] => popup closes, no change.

Edge cases:
- Deleting an Inactive sub-system with no linked records => allowed.
- Network error => ""Failed to delete asset sub-system. Please try again.""
"
33,1.5.8,,View Asset Type List,"- Accessible by Super Admin.
- Full-page table with filters: All Systems / All Sub-systems / All Statuses.
- Each row: Date / Name (+ Code) / Sub-system / System / Status / Deactivate icon.","Screen name: Asset Types (Dashboard / Asset Type)
- Search - Text field
- Filter: All Systems - Dropdown
- Filter: All Sub-systems - Dropdown - Conditional
- Filter: All Statuses - Dropdown
- Clear All - Hyperlink
- Result count - Display
- [+ Add] - Button - Primary - top-right
- Table: Date / Name+Code / Sub-system / System / Status / Actions (? deactivate)
- Pagination","Screen: Asset Type List (Super Admin)

Preconditions:
- Super Admin authenticated.

1. Super Admin navigates to Assets => Asset Types.

2. System loads full-page table with default filters (All Systems / All Sub-systems / All Statuses):
   + Columns: Date / Name + Code / Sub-system / System / Checklist items count / Status / Actions (? deactivate).
   + Sorted by creation date descending.
   + Result count shown.

3. Super Admin applies filters:
   3.1. Selects a System => Sub-system filter populates with sub-systems for that System.
   3.2. Selects a Sub-system => list filters to asset types under that sub-system.
   3.3. Selects Status (All / Active / Inactive) => list filters.
   3.4. Any filter change => list updates in real time or on [Apply].

4. Super Admin types in Search field:
   4.1. Filters by Asset Type name or code in real time.
   4.2. No results => ""No asset types match your search.""

5. Super Admin clicks an Asset Type name => navigates to Asset Type detail page (read-only + edit option).

6. Super Admin clicks [+ Add] => Create Asset Type (1.5.9).

7. Super Admin clicks ? on a row => Deactivate Asset Type (1.5.11).

8. Empty state (no types): ""No asset types found. Click [+ Add] to create one.""

Edge cases:
- Super Admin filters by a System that has no asset types => empty state shown.
- List fails to load => error: ""Failed to load asset types. Please refresh.""
"
34,1.5.9,,Create Asset Type,"- Full-page form (not popup - due to Work Checklist section).
- Fields: Name, Code, System, Sub-system, Status.
- Work Checklist section: each item has Name (required), Description setting (Off/Require/Optional), Photos setting (Off/Require/Optional).
- Checklist auto-applies to all WOs for assets of this type.","Page: Add Asset Type
- Name - Text field - Required - Max 100 characters
- Code - Text field - Required - Max 50 characters - Must be unique
- System - Dropdown - Required
- Sub-system - Dropdown - Required - Cascades from System
- Status - Dropdown - Required - Default: Active

Section: Work Checklist
- Checklist item input - Text field - Placeholder: ""Enter checklist item"" + [+] button
- Checklist item card (repeatable):
  + Name - Text field - Required
  + Description - Radio: Off | Require | Optional - Default: Off
  + Photos - Radio: Off | Require | Optional - Default: Off
  + Delete card - Icon button (red trash)
- Cancel - Button - Secondary
- Add - Button - Primary","Flow: Create Asset Type (Super Admin)

Preconditions:
- Super Admin authenticated.
- Asset Systems and Sub-systems must exist.

1. Super Admin clicks [+ Add] on Asset Type list => navigates to Add Asset Type full-page form.

2. Super Admin fills the header fields:
   - Asset Type Name (required)
   - Asset Type Code (required, unique)
   - Asset System (required dropdown)
   - Asset Sub-system (required dropdown, cascades from System)
   - Status (default: Active)

3. Super Admin adds Work Checklist items (in the Checklist section):
   3.1. Super Admin clicks [+ Add Item] or types item name in the input field.
   3.2. Each item requires: Item Name (required).
   3.3. Each item has 2 settings:
    + Description: Off / Optional / Required (radio button per item).
    + Photos: Off / Optional / Required (radio button per item).
   3.4. Super Admin can reorder items via drag-and-drop.
   3.5. Super Admin can delete an item via X icon (no confirmation needed).
   3.6. Checklist is optional - Asset Type can be created with 0 checklist items.

4. Super Admin clicks [Create]:
   4.1. Asset Type Name empty => error: ""Asset type name is required."" => does NOT create.
   4.2. Asset Type Name > 100 characters => error: ""Asset type name must not exceed 100 characters."" => does NOT create.
   4.3. Asset Type Code empty => error: ""Code is required."" => does NOT create.
   4.4. Asset Type Code duplicate => error: ""An asset type with this code already exists."" => does NOT create.
   4.5. Asset System not selected => error: ""Asset System is required."" => does NOT create.
   4.6. Asset Sub-system not selected => error: ""Asset Sub-system is required."" => does NOT create.
   4.7. Any checklist item name empty => error: ""Checklist item name is required."" (inline on that item) => does NOT create.
   4.8. All valid:
    + Asset Type record created with all checklist items.
    + Checklist is automatically applied to all future WOs for assets of this type.
    + System navigates back to Asset Type list.
    + Success toast: ""Asset type created successfully.""

5. Super Admin clicks [Cancel] => navigates back without saving.

Edge cases:
- Super Admin creates an Asset Type with 0 checklist items => valid. WOs for assets of this type will have no checklist.
- Super Admin reorders checklist items => order is preserved in database and applied to WOs in the same order.
- Network error => ""Failed to create asset type. Please try again."" => no partial record.
"
35,1.5.10,,Edit Asset Type,"- Full-page edit form pre-filled.
- Allows updating all fields including Work Checklist items.","Page: Edit Asset Type - same layout as Create (1.5.9), all fields pre-filled.","Flow: Edit Asset Type (Super Admin)

Preconditions:
- Super Admin authenticated.

1. Super Admin clicks on an Asset Type name in the list => navigates to Asset Type detail/edit page, all fields pre-filled.

2. Super Admin modifies header fields (Name, Code, System, Sub-system, Status).

3. Super Admin modifies Work Checklist:
   + Add new items: click [+ Add Item] => new item row appears.
   + Edit existing items: click on item name to edit inline.
   + Change Description/Photos settings per item.
   + Reorder items via drag-and-drop.
   + Delete items: click X on item row.

4. Super Admin clicks [Save]:
   4.1. Same validation as Create (1.5.9).
   4.2. Asset Type Code duplicate (excluding current) => error: ""An asset type with this code already exists."" => does NOT save.
   4.3. All valid => record updated => success toast: ""Asset type updated successfully.""

5. Super Admin clicks [Cancel] => navigates back without saving.

6. Impact of checklist changes on existing WOs:
   + Checklist changes do NOT retroactively affect WOs already in progress (Started/Completed).
   + New WOs created after the edit will use the updated checklist.
   + Pending WW (not yet Started) that reference this asset type: flagged for BA review - whether they use old or new checklist.

Edge cases:
- Super Admin deletes all checklist items => valid (zero-item checklist). Confirmation: ""Are you sure you want to remove all checklist items? Future WOs for this type will have no checklist.""
- System/Sub-system changed on an Asset Type that already has linked assets => assets remain linked but their classification path is updated.
- Network error during save => ""Failed to update asset type. Please try again.""
"
